name,ratings,location,price_lakhs,price_crores,area_sqft,bhk
bhartiya city nikoo homes phase 2,4.4,"chokkanahalli, near thanisandra",284.0,2.84,2204,4
s v nivas,,"duo layout, bommanahalli",75.0,0.75,1210,2
mukunda nandanam,,kr puram,109.00000000000001,1.09,1560,3
sapthagiri sandalwoods,,kadugodi,91.43,0.9143000000000001,1219,2
sapthagiri sandalwoods,,kadugodi,87.0,0.87,1160,2
mukunda nandanam,,kr puram,102.0,1.02,1500,3
sri nandana galaxy,,"sompura, sarjapur road",95.0,0.95,1245,2
galaxy sri nandana galaxy,,"yamare, sarjapur road",98.0,0.98,1350,3
sri nandana galaxy,,"chambenahalli, sarjapur road",101.0,1.01,1395,3
sri nandana galaxy,,sarjapur road,86.55,0.8654999999999999,1245,2
sri nandana galaxy,,sarjapur road,105.0,1.05,1485,3
galaxy sri nandana galaxy,,"chambenahalli, sarjapur road",105.0,1.05,1485,3
galaxy sri nandana galaxy,,"yamare, sarjapur road",84.5,0.845,1160,2
sri nandana galaxy,,sarjapur road,99.0,0.99,1395,3
rj enclave apartment,,junnasandra,55.0,0.55,1005,2
rj enclave apartment,,junnasandra,55.0,0.55,1005,2
rj enclave apartment,,junnasandra,55.0,0.55,1008,2
aarna royal apartment,,"ananth nagar, electronic city",60.0,0.6,1400,3
aarna royal apartment,,"ananth nagar, electronic city",61.0,0.61,1425,3
aarna royal apartment,,"ananth nagar phase 2, electronic city",60.0,0.6,1400,3
aarna royal apartment,,"ananth nagar, electronic city",60.0,0.6,1400,3
aarna royal apartment,,"ananth nagar, electronic city",61.0,0.61,1425,3
rj vintage apartment,,"phase 1 kammasandra, electronic city",66.0,0.66,1423,3
rj vintage apartment,,"ananth nagar, electronic city",65.0,0.65,1400,3
temple vaibhav apartment,,"nyanappana halli, hulimavu",85.0,0.85,1250,3
ss p,,jp nagar,335.0,3.35,1200,5
sobha city santorini,,nagareshwara - nagenahalli,220.00000000000003,2.2,1740,3
confident oxygen,,"chambenahalli, sarjapur road",90.0,0.9,1087,3
